text,is_humor,pred_nbsvm,pred_baseline,pred_lora
—Cerebro ¿Qué vamos a hacer esta noche? —Conquistarla a ella Pinky. —¿Ya no es el mundo? —Ella es mi mundo. —Que hueco andas hoy cerebro.,0,1,1,1
A este 2018 le vamos a decir la Frida Kahlo... porque pinta de la verga.?,1,0,0,0
"Antes de morir debo aprenderme la coreografía de ""Triller"" no vaya a ser que resucite y sea el único pinche zombie que no se sabe los pasos.",1,0,0,0
"Soy feliz, me siento excelente y tengo salud ... Y todo aquel que se sienta igual que lo Retwitte...! #fb",0,1,1,1
Todos somos valientes hasta que nuestra madre nos llama por nuestro nombre completo.,1,0,0,0
Mi madre debe entender que a veces hago cosas estúpidas porque necesito historias que contarles a mis hijos.,1,0,0,0
Vamos por partes (tupac amaru) #frases,1,0,0,0
Los Isis se adjudican todas las desgracias. No entiendo como no se hicieron cargo del gobierno de los Kirchner.,1,0,0,0
"Es: o sea, no: osea. 😒 Es: en serio, no: enserio.✊ Es: a veces , no: aveces.👏 Es: cán da lo, es un escándalo. 💃👯",1,0,0,0
"Mientras tu me ignoras, la señora de las películas piratas me pregunta: Se la pruebo sin compromiso.",0,1,1,1
"Me podrás ver tranquilo, caminando como si nada, pero no he pisado raya desde cinco cuadras atrás.",0,1,1,1
Otra temporada de #MasterChefUy que termina y todavía nadie agarró la caja de bombones del almacén. Me siento estafado.,1,0,0,0
"El único que conoce la belleza interior de una persona, es el pene de otra.",1,0,0,0
"Odio cuando tengo rabia y me hacen reír, me arruinan todo él drama. 😒",1,0,0,0
Lo bueno de no salir de viaje en estas fechas es que puedes disfrutar del paisaje de la ciudad sin carros. #PobrePeroPositiva,1,0,0,0
"En el grupo de whatsapp se la pasan hablando. Aparezco yo, digo hola y no contesta ni el perro.",0,1,1,1
Ese momento incómodo entre el lunes y el viernes.,1,0,0,0
"#VisteCuando te dicen algo y no entendes y preguntas ""que"" como 3 veces y seguís sin entender y terminas diciendo ""Ahh si"".",0,1,1,1
Y QUE NO PAREE LA FIESTAAAAA🎶 *tose* *se tapa* *sigue durmiendo*,1,0,0,0
"Qué difícil es decirle ""En combo y con refresco grande"" a quien antes le decías: ""Pásame la tarea, tú siempre la haces""",0,1,1,1
"Más cansado que el que le limpia los trofeos a Messi,",1,0,0,0
"En la vida, no importa cuántas veces te caigas, sino cuántas veces proteges tu celular en cada caída.",1,0,0,0
Tengo menos levante levante que maquinita de peluches,1,0,0,0
Comer asado: 1000$ Comerte este lechoncito: gratis bb,1,0,0,0
"Una parte de mi quiere dormir, la otra quiere salir, otra quiere comer, otra no quiere saber de nada y otra que quiere todo al mismo tiempo.",1,0,0,0
"Recursivo: Adj, vease recursivo.",1,0,0,0
"Que grande Forlan, patea para adelante , patea para atras (que jugador..) #chistes",0,1,1,1
"Muchos sufriendo por amor, y yo aqui porque mañana es Lunes :(",1,0,0,0
Terminando el examen de Matemáticas: -Están listos!? -Si Profesor estamos listos -No los escucho -Jódete viejo Sordo!!! #fb,0,1,1,1
"El camarón vale como $250 pesos el kilo y yo arrimándotelo de gratis. No valoras eh, neta.",1,0,0,0
"Llega un tipo y pregunta: -Señor, ¿tiene cebolla picada? -No, pero tengo un tomate que se cree una chimba! #Colombia by",0,1,1,1
ADN DE LAS MUJERES: 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡,1,0,0,0
Lo triste no es ir al cementerio sino quedarse. #MáximasFilosóficas #fb,0,1,1,1
"Diosito, ¿porque no me mandas antojos como de salir a correr o comer fruta? Puro antojo de comer barbacoa y dormir todo el día me mandas. ☹️",1,0,0,0
"“Me da una recarga de un dólar” —Yo, bien fresón en el oxxo.",0,1,1,1
Hay 2 tipos de personas: 1.- La gente guapa que tiene el teléfono lleno de fotos suyas. 2.- Los que lo tenemos lleno de memes y capturas.,0,1,1,1
"Tengo problemas de comunicación, pero prefiero no hablar de eso.",1,0,0,0
"Si no tienes hijos, contrata una niñera y dile que el niño está durmiendo arriba y que no lo despierte. Cuando regreses dile que dónde está.",0,1,1,1
Hoy es viernes de peda. De pedalear mi triciclo de tamales para vender bien en este día de la Candelaria. 😋,1,0,0,0
No jugué con fuego y fuego se quedó sin amigo,1,0,0,0
Qué incómodo es hacer spinning sentado encima de toda la ropa que hay en la bicicleta estática.,1,0,0,0
En Whatsapp o no te habla nadie o te hablan todos al mismo tiempo y me dan ganas de tirar el teléfono a la mierda.,0,1,1,1
"Yo soy de esos que al subirse al autobús, analizo la cara de todos los pasajeros para poder sentarme al lado del que parezca menos criminal.",0,1,1,1
"""Ah chinga ¿y ahora qué hago?"" —James Rodríguez confundido por ser titular.",1,0,0,0
Jesús me voy a dormir y voy a apagar mi celular por favor no muevas México que no escucharé la alarma. Gracias.,0,1,1,1
Desesperación nivel: Estás en línea en WhatsApp. ¡CONTESTA!,0,1,1,1
"—Hijo, ¿Agarraste mi disco de Pedrito Fernández? —Yo te lo juro que yo no fui. —¿Seguro? —¡Ay mamá, que yo no fui! —¡Ya, cabrón! ¡Dámelo!",0,1,1,1
"Quédate con la que después de lavarse la cara, aún tenga cejas y pestañas. Mujeres con maquillaje de payaso asesino, hay un chingo.",1,0,0,0
"si no te lame el culo, dejalo ir, no vale la pena guau",1,0,0,0
Nubes bajas Acarician tus lanas En un insomnio escondido No sé rimar Salsa golf,0,1,1,1
"Yo no guardo rencor a mis ex's, les guardo flores pa el día en que se mueran",1,0,0,0
Extrañar es mejor que estar cerca y que esté rompiéndote los huevos.,1,0,0,0
A Ramos le entran las críticas por un oído y le salen por el otro. Le pasarán rápido porque por medio no hay nada.,1,0,0,0
Se creen muy fans de Stephen Hawking y sólo conocen la de Technologic.,1,0,0,0
